Latitude,Longitude,School Name,Ground-truthed
6.846824553,-8.043864557,EPP BOUGALOU VILLAGE,TRUE
6.86362768,-8.042817471,EPP TIEPLEU,TRUE
6.879107715,-8.027066275,EC DOUEPLEU,TRUE
6.884760879,-8.009542463,EPP DEPOUTA,TRUE
6.909834838,-7.99757057,EPP GOYA 2,TRUE
6.911108071,-7.966967511,EPP GUEZAØ,TRUE
6.955568653,-7.95350163,EPP GABON,TRUE
6.935864468,-7.926844613,EPP CHANTIER CACAO,TRUE
6.919214129,-7.887665883,EPP HEREDOUGOU,TRUE
6.850618725,-7.878541091,EPP TOMEPLEU,TRUE
6.858469742,-7.844451977,EPP KAZILEKRO,TRUE
6.885650592,-7.923220194,EPP GEORGEKRO,TRUE
6.863407329,-7.971324095,EPP ZAØPLEU,TRUE
6.830429723,-7.996587603,EPP GOYA MAMBLY,TRUE
6.769827454,-7.986470934,EPP BOSSOA 2,TRUE
6.750588331,-7.960173319,EPP PETIT BOUAKE,TRUE
6.704564043,-7.940766457,EPP GOYA 3,TRUE
6.72311715,-7.900973885,EC GBEBRI,TRUE
6.746906725,-7.902177929,EPP SIO,TRUE
6.769306148,-7.900571179,EPP TREICHVILLE,TRUE
6.769152639,-7.9006801,EPI TREICHVILLE,TRUE
6.801483799,-7.923653091,EPP DALOA-SOUBRE,TRUE
6.819911764,-7.905487322,EPP BELLEVILLE,TRUE
6.797729012,-7.879216112,EPP PLATEAU,TRUE
6.81668258,-7.843267488,EPP ALEXANDREKRO,TRUE
6.801320223,-7.848651776,EPP ZOMBLY,TRUE
6.781114864,-7.822063075,EPP SIALOUKRO,TRUE
6.794304755,-7.794072795,EPP BENOIKRO,TRUE
6.769960282,-7.791319577,EPP MOMBOØBLY,TRUE
6.765116239,-7.756852329,EPP 4 CARREFOURS,TRUE
6.752218502,-7.810806003,EPP N'TOBENI,TRUE
6.713835372,-7.829707134,EPP ALAKABO,TRUE
6.73685464,-7.864935421,EPP PETIT SAKASSOU,TRUE
6.72215709,-7.880421532,EPP DJÔKRO,TRUE
6.647641703,-7.889048606,EC LA BONNE SEMENCE DE CIB,TRUE
6.643234294,-7.883794066,EC MOYEH-CIB,TRUE
6.648374947,-7.889336416,EPI OLOUM DINIA CIB,TRUE
6.652032558,-7.895008836,EPP OULAØBLY-CIB,TRUE
6.651924833,-7.8953709,EPP DAHANDROU-CIB,TRUE
6.635845225,-7.945880003,EC ZOUAN,TRUE
10.19221239,-7.543886729,EPP MAZELA,TRUE
10.23809888,-7.560109074,EPP KEHI,TRUE
10.22462233,-7.483431267,EPP TIENKO  1,TRUE
10.22492418,-7.484178314,EPP TIENKO 2,TRUE
10.18508011,-7.444118659,EPP KOLIKO,TRUE
10.11995289,-7.396538572,EPP KOTOULA,TRUE
10.19560757,-7.343665988,EPP DJOLOLA,TRUE
10.24529932,-7.416870328,EPP KOUBAN 1,TRUE
10.24542794,-7.417289583,EPP KOUBAN 2,TRUE
10.32428425,-7.398809522,EPP KONGOHILA,TRUE
10.30031107,-7.417947724,EPP MISSAMAHANA,TRUE
10.39644536,-7.483412515,EPP TIEFINZO,TRUE
10.35961546,-7.517395621,EPP KIMBIRLA NORD,TRUE
10.32730103,-7.604584307,EPP NAGUINA,TRUE
10.34553248,-7.678207052,EPP SANZANOU,TRUE
10.37227656,-7.640760514,EPP LL,TRUE
10.29765918,-7.612393464,EPP KONLA,TRUE
10.28062621,-7.534782935,EPP KMISSIGA,TRUE
10.26728897,-7.49704062,EPP M'BANA,TRUE
9.943644064,-7.564618304,EPP NAFADOUDOU,TRUE
9.977236462,-7.569223541,EPP KARALA,TRUE
10.05251567,-7.533258507,EPP SANANFRDOUGOU,TRUE
10.14244158,-7.554999095,EPP KABANGOU,TRUE
9.995760956,-7.832826515,EPP MINIGNAN 1,TRUE
9.996222868,-7.833034686,EPP MINIGNAN 3,TRUE
9.998472176,-7.840124075,EPP MINIGNAN 2,TRUE
9.997857907,-7.840308706,EPP MINIGNAN 4,TRUE
10.06616684,-7.923091017,EPP TIENNY(MINIGNAN),TRUE
10.08021408,-7.972421161,EPP DJOROZO (MINIDJAN),TRUE
9.977508275,-7.954198896,EPP SAMBADOUGOU  (MINIGNAN),TRUE
9.937066599,-8.025957768,EPP FAHALA (MINIGNAN),TRUE
